,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
2353,NH,0.75,0.875,2.0,1.75,W,W,D,D,W,W
2354,D,-0.25,-0.875,0.625,1.125,L,W,W,L,L,L
2355,H,0.625,-0.5,1.75,0.5,D,D,W,D,W,D
2356,D,-0.125,-0.25,0.625,0.75,D,W,W,L,L,L
2357,H,0.5,-0.75,1.0,1.125,D,L,D,D,D,D
2358,D,-0.25,-1.0,0.625,0.625,L,L,D,L,L,W
2359,D,0.75,-0.5,1.75,1.0,W,D,D,L,W,L
2360,D,-0.3333333333333333,0.6666666666666666,0.7777777777777778,1.7777777777777777,L,L,D,W,L,D
2361,D,0.2222222222222222,-0.2222222222222222,1.4444444444444444,0.6666666666666666,W,D,W,L,D,W
2362,D,-0.7777777777777778,-0.8888888888888888,1.1111111111111112,0.6666666666666666,D,D,W,L,L,L
2363,H,0.5555555555555556,-0.3333333333333333,1.4444444444444444,0.6666666666666666,D,D,D,D,W,W
2364,D,-0.4444444444444444,-0.4444444444444444,0.4444444444444444,0.7777777777777778,L,L,D,L,D,D
2365,H,-0.3333333333333333,0.2222222222222222,1.0,1.8888888888888888,L,W,L,D,D,W
2366,D,-0.4444444444444444,0.4444444444444444,1.0,1.2222222222222223,D,W,D,D,L,D
2367,H,0.5555555555555556,0.4444444444444444,1.4444444444444444,1.6666666666666667,D,D,D,W,D,D
2368,D,-0.2222222222222222,-0.2222222222222222,0.7777777777777778,0.6666666666666666,D,D,W,L,L,D
2369,H,1.0,0.5555555555555556,1.8888888888888888,1.8888888888888888,W,W,W,L,D,W
2370,NH,0.2,0.7,1.2,1.6,D,W,W,D,D,D
2371,D,-0.2,0.2,0.7,1.4,D,D,D,W,L,W
2372,NH,-0.5,-0.3,0.8,1.0,D,D,L,D,L,D
2373,H,0.7,-0.6,1.7,0.5,L,D,W,L,L,D
2374,H,0.8,-0.9,1.7,1.1,D,D,L,D,W,W
2375,H,0.1,-0.6,0.7,0.8,D,D,D,L,L,D
2376,D,0.2,-0.2,1.7,0.8,L,D,W,D,D,W
2377,NH,-1.0,1.1,0.7,2.0,D,W,D,W,L,W
2378,H,0.6,0.3,1.5,1.6,L,W,D,D,W,D
2379,H,0.0,-0.6,0.6,1.2,L,W,D,L,D,L
2380,D,-0.5454545454545454,-0.18181818181818182,0.7272727272727273,0.7272727272727273,L,D,D,D,L,D
2381,NH,0.0,0.9090909090909091,1.3636363636363635,1.8181818181818181,D,W,D,D,W,L
2382,D,0.2727272727272727,0.18181818181818182,1.4545454545454546,1.6363636363636365,L,D,W,L,D,W
2383,H,0.0,-1.0909090909090908,0.8181818181818182,0.6363636363636364,D,L,D,D,D,D
2384,H,-0.45454545454545453,0.0,0.45454545454545453,0.9090909090909091,L,W,D,D,L,D
2385,D,-0.5454545454545454,-0.45454545454545453,1.0909090909090908,0.7272727272727273,L,L,W,D,L,L
2386,H,-0.18181818181818182,-0.09090909090909091,1.1818181818181819,0.8181818181818182,W,W,D,L,D,D
2387,NH,0.09090909090909091,0.6363636363636364,1.0909090909090908,1.6363636363636365,L,W,D,L,W,D
2388,H,0.8181818181818182,0.45454545454545453,1.7272727272727273,1.8181818181818181,W,W,W,L,D,W
2389,H,1.1818181818181819,-1.0,2.090909090909091,1.0,W,L,W,D,W,D
2390,NH,-1.1666666666666667,-0.3333333333333333,0.5833333333333334,0.75,L,D,L,L,D,D
