,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
511,H,1.4285714285714286,0.0,2.0714285714285716,1.2142857142857142,W,L,W,D,W,L
512,D,-0.8571428571428571,-0.42857142857142855,0.35714285714285715,1.3571428571428572,L,W,D,L,L,W
513,D,-0.07142857142857142,0.0,1.0,1.3571428571428572,L,W,W,D,D,L
514,H,0.35714285714285715,0.7142857142857143,1.4285714285714286,1.5,D,W,D,W,W,W
515,NH,0.14285714285714285,-0.5714285714285714,1.4285714285714286,0.5,D,W,W,D,L,L
516,NH,-0.2857142857142857,-0.14285714285714285,1.0,0.9285714285714286,L,L,L,L,D,W
517,D,-1.0714285714285714,0.6428571428571429,0.5714285714285714,1.9285714285714286,L,L,L,L,L,W
518,H,-0.5714285714285714,0.21428571428571427,1.0,1.3571428571428572,W,W,W,D,L,W
519,D,-0.07142857142857142,-0.2857142857142857,1.1428571428571428,1.1428571428571428,L,D,W,L,L,W
520,H,0.6,0.0,1.8666666666666667,1.3333333333333333,D,L,L,D,L,W
521,H,-0.26666666666666666,-0.8,1.1333333333333333,0.4,D,D,D,L,L,D
522,H,-0.06666666666666667,-0.4,1.1333333333333333,0.9333333333333333,L,L,L,L,D,L
523,D,-0.06666666666666667,-1.0,1.0,0.6,D,D,L,L,W,L
524,H,-0.4,-0.06666666666666667,1.3333333333333333,1.1333333333333333,D,D,W,L,L,W
525,NH,-0.4,0.4,0.6666666666666666,1.5333333333333334,W,W,W,D,D,D
526,NH,0.13333333333333333,1.0,1.2666666666666666,2.4,L,W,W,W,D,W
527,H,0.6,1.4,1.4,2.1333333333333333,L,W,W,W,W,W
528,D,0.0,-0.4666666666666667,1.3333333333333333,1.1333333333333333,D,W,W,W,D,W
529,D,0.0,-0.2,1.0666666666666667,1.2,W,L,L,D,L,L
530,D,0.4375,0.0,1.625,1.3125,W,D,W,D,D,W
531,H,-0.125,-0.0625,1.0625,1.0,L,D,D,D,L,L
532,NH,-0.8125,-0.4375,0.375,1.125,L,D,D,W,L,W
533,H,1.125,-0.4375,2.4375,0.875,W,L,W,L,W,L
534,D,-0.1875,0.75,1.25,1.5,L,W,L,L,D,W
535,D,-0.9375,-0.4375,0.625,0.625,D,L,D,W,L,W
536,NH,-0.1875,0.0,1.25,1.0625,W,D,D,W,D,L
537,H,1.125,0.75,2.0,1.9375,L,W,W,D,W,L
538,D,-0.1875,0.0,1.1875,1.25,D,W,L,L,D,L
539,NH,0.0,-0.125,1.25,1.0625,W,L,L,D,L,L
540,NH,-0.17647058823529413,0.4117647058823529,0.9411764705882353,1.588235294117647,L,D,D,W,D,W
541,H,-0.4117647058823529,-0.23529411764705882,0.6470588235294118,1.1764705882352942,D,L,L,W,W,D
